GEO_id,GEO_id2,GEO_display_label,HC03_EST_VC01
Id,Id2,Geography,Percent below poverty level; Estimate; Population for whom poverty status is determined
1400000US06059063905,6059063905,"Census Tract 639.05, Orange County, California",9.3
1400000US06059063906,6059063906,"Census Tract 639.06, Orange County, California",7.4
1400000US06059063907,6059063907,"Census Tract 639.07, Orange County, California",6.1
1400000US06059063908,6059063908,"Census Tract 639.08, Orange County, California",7.1
1400000US06059074003,6059074003,"Census Tract 740.03, Orange County, California",12.2
1400000US06059074004,6059074004,"Census Tract 740.04, Orange County, California",7.6
1400000US06059074005,6059074005,"Census Tract 740.05, Orange County, California",13.4
1400000US06059074006,6059074006,"Census Tract 740.06, Orange County, California",11.3
1400000US06059074102,6059074102,"Census Tract 741.02, Orange County, California",10.2
1400000US06059074103,6059074103,"Census Tract 741.03, Orange County, California",10.9
1400000US06059074106,6059074106,"Census Tract 741.06, Orange County, California",11
1400000US06059074107,6059074107,"Census Tract 741.07, Orange County, California",6.1
1400000US06059074108,6059074108,"Census Tract 741.08, Orange County, California",11.1
1400000US06059074109,6059074109,"Census Tract 741.09, Orange County, California",15.6
1400000US06059074110,6059074110,"Census Tract 741.10, Orange County, California",11.8
1400000US06059074111,6059074111,"Census Tract 741.11, Orange County, California",6.4
1400000US06059074200,6059074200,"Census Tract 742, Orange County, California",13.8
1400000US06059074300,6059074300,"Census Tract 743, Orange County, California",26.5
1400000US06059074403,6059074403,"Census Tract 744.03, Orange County, California",28.8
1400000US06059074405,6059074405,"Census Tract 744.05, Orange County, California",20.8
1400000US06059074406,6059074406,"Census Tract 744.06, Orange County, California",24.6
1400000US06059074407,6059074407,"Census Tract 744.07, Orange County, California",22.9
1400000US06059074408,6059074408,"Census Tract 744.08, Orange County, California",14.8
1400000US06059074501,6059074501,"Census Tract 745.01, Orange County, California",39.8
1400000US06059074502,6059074502,"Census Tract 745.02, Orange County, California",25
1400000US06059074601,6059074601,"Census Tract 746.01, Orange County, California",14.3
1400000US06059074602,6059074602,"Census Tract 746.02, Orange County, California",23.9
1400000US06059074701,6059074701,"Census Tract 747.01, Orange County, California",19.9
1400000US06059074702,6059074702,"Census Tract 747.02, Orange County, California",18.7
1400000US06059074801,6059074801,"Census Tract 748.01, Orange County, California",13.9
1400000US06059074802,6059074802,"Census Tract 748.02, Orange County, California",25.5
1400000US06059074803,6059074803,"Census Tract 748.03, Orange County, California",17.7
1400000US06059074805,6059074805,"Census Tract 748.05, Orange County, California",27.8
1400000US06059074806,6059074806,"Census Tract 748.06, Orange County, California",30.8
1400000US06059074901,6059074901,"Census Tract 749.01, Orange County, California",25.8
1400000US06059074902,6059074902,"Census Tract 749.02, Orange County, California",26.9
1400000US06059075002,6059075002,"Census Tract 750.02, Orange County, California",37.8
1400000US06059075003,6059075003,"Census Tract 750.03, Orange County, California",32.3
1400000US06059075004,6059075004,"Census Tract 750.04, Orange County, California",45
1400000US06059075100,6059075100,"Census Tract 751, Orange County, California",23.8
1400000US06059075201,6059075201,"Census Tract 752.01, Orange County, California",20.2
1400000US06059075202,6059075202,"Census Tract 752.02, Orange County, California",23.4
1400000US06059075301,6059075301,"Census Tract 753.01, Orange County, California",16.6
1400000US06059075302,6059075302,"Census Tract 753.02, Orange County, California",17.9
1400000US06059075303,6059075303,"Census Tract 753.03, Orange County, California",8.1
1400000US06059075401,6059075401,"Census Tract 754.01, Orange County, California",9.3
1400000US06059075403,6059075403,"Census Tract 754.03, Orange County, California",7.5
1400000US06059075404,6059075404,"Census Tract 754.04, Orange County, California",11.4
1400000US06059075405,6059075405,"Census Tract 754.05, Orange County, California",7.9
