ObjectID,datetime,PM2.5,AQI,latitude,longitude,,,,
995,12/18/19 16:30,0.046875,0,34.142913,-117.672854,,,,
1187,12/18/19 16:30,9.917142857,41,34.106646,-117.72357,,,,
1480,12/18/19 16:30,2.899196429,12,34.114777,-117.747759,,,,
1672,12/18/19 16:30,1.229821429,5,34.101792,-117.709791,,,,
1864,12/18/19 16:30,1.48375,6,34.136145,-117.659406,,,,
36,12/18/19 16:45,4.3025,18,34.072166,-117.749625,,,,
228,12/18/19 16:45,3.327946429,14,34.117691,-117.746524,,,,
420,12/18/19 16:45,1.924285714,8,34.104089,-117.746679,,,,
612,12/18/19 16:45,1.924285714,8,34.104334,-117.743445,,,,
804,12/18/19 16:45,0.177857143,1,34.125368,-117.726098,,,,
996,12/18/19 16:45,0.150714286,1,34.142913,-117.672854,,,,
1188,12/18/19 16:45,2.579642857,11,34.106646,-117.72357,,,,
1481,12/18/19 16:45,4.139553571,17,34.114777,-117.747759,,,,
1673,12/18/19 16:45,1.299821429,5,34.101792,-117.709791,,,,
1865,12/18/19 16:45,0.637142857,3,34.136145,-117.659406,,,,
37,12/18/19 17:00,2.830714286,12,34.072166,-117.749625,,,,
229,12/18/19 17:00,2.640267857,11,34.117691,-117.746524,,,,
421,12/18/19 17:00,1.549375,6,34.104089,-117.746679,,,,
613,12/18/19 17:00,1.243928571,5,34.104334,-117.743445,,,,
805,12/18/19 17:00,0.48375,2,34.125368,-117.726098,,,,
997,12/18/19 17:00,0.071875,0,34.142913,-117.672854,,,,
1189,12/18/19 17:00,1.993125,8,34.106646,-117.72357,,,,
1482,12/18/19 17:00,2.583571429,11,34.114777,-117.747759,,,,
1674,12/18/19 17:00,1.914375,8,34.101792,-117.709791,,,,
1866,12/18/19 17:00,0.4175,2,34.136145,-117.659406,,,,
38,12/18/19 17:15,1.96625,8,34.072166,-117.749625,,,,
230,12/18/19 17:15,1.181785714,5,34.117691,-117.746524,,,,
422,12/18/19 17:15,1.94,8,34.104089,-117.746679,,,,
614,12/18/19 17:15,1.075446429,4,34.104334,-117.743445,,,,
806,12/18/19 17:15,0.654285714,3,34.125368,-117.726098,,,,
998,12/18/19 17:15,0.106428571,0,34.142913,-117.672854,,,,
1190,12/18/19 17:15,2.732142857,11,34.106646,-117.72357,,,,
1483,12/18/19 17:15,0.979732143,4,34.114777,-117.747759,,,,
1675,12/18/19 17:15,1.38,6,34.101792,-117.709791,,,,
1867,12/18/19 17:15,0.362142857,2,34.136145,-117.659406,,,,
39,12/18/19 17:30,2.150714286,9,34.072166,-117.749625,,,,
231,12/18/19 17:30,0.746517857,3,34.117691,-117.746524,,,,
423,12/18/19 17:30,1.32,6,34.104089,-117.746679,,,,
615,12/18/19 17:30,1.031964286,4,34.104334,-117.743445,,,,
807,12/18/19 17:30,0.238125,1,34.125368,-117.726098,,,,
999,12/18/19 17:30,0.0725,0,34.142913,-117.672854,,,,
1191,12/18/19 17:30,2.246517857,9,34.106646,-117.72357,,,,
1484,12/18/19 17:30,0.796428571,3,34.114777,-117.747759,,,,
1676,12/18/19 17:30,0.885,4,34.101792,-117.709791,,,,
